 ***Theta   Eprime   Sig_Born   Sig_Rad
   21.6125   2.9605   4.2345   4.5539
   21.6125   2.9695   4.2147   4.5265
   21.6125   2.9785   4.1948   4.4994
   21.6125   2.9875   4.1750   4.4721
   21.6125   2.9965   4.1553   4.4452
   21.6125   3.0055   4.1355   4.4184
   21.6125   3.0145   4.1158   4.3915
   21.6125   3.0235   4.0961   4.3649
   21.6125   3.0325   4.0764   4.3384
   21.6125   3.0415   4.0567   4.3120
   21.6125   3.0505   4.0371   4.2857
   21.6125   3.0595   4.0175   4.2591
   21.6125   3.0685   3.9979   4.2334
   21.6125   3.0775   3.9783   4.2074
   21.6125   3.0865   3.9587   4.1816
   21.6125   3.0955   3.9392   4.1558
   21.6125   3.1045   3.9197   4.1299
   21.6125   3.1135   3.9002   4.1043
   21.6125   3.1225   3.8807   4.0791
   21.6125   3.1315   3.8613   4.0536
   21.6125   3.1405   3.8418   4.0282
   21.6125   3.1495   3.8224   4.0030
   21.6125   3.1585   3.8030   3.9778
   21.6125   3.1675   3.7836   3.9528
   21.6125   3.1765   3.7643   3.9277
   21.6125   3.1855   3.7449   3.9029
   21.6125   3.1945   3.7256   3.8780
   21.6125   3.2035   3.7063   3.8533
   21.6125   3.2125   3.6870   3.8286
   21.6125   3.2215   3.6678   3.8042
   21.6125   3.2305   3.6485   3.7802
   21.6125   3.2395   3.6293   3.7560
   22.1125   2.9605   3.7177   3.9617
   22.1125   2.9695   3.6988   3.9364
   22.1125   2.9785   3.6799   3.9115
   22.1125   2.9875   3.6611   3.8863
   22.1125   2.9965   3.6423   3.8613
   22.1125   3.0055   3.6235   3.8365
   22.1125   3.0145   3.6047   3.8118
   22.1125   3.0235   3.5860   3.7872
   22.1125   3.0325   3.5673   3.7613
   22.1125   3.0415   3.5486   3.7381
   22.1125   3.0505   3.5299   3.7138
   22.1125   3.0595   3.5113   3.6896
   22.1125   3.0685   3.4927   3.6655
   22.1125   3.0775   3.4741   3.6415
   22.1125   3.0865   3.4555   3.6174
   22.1125   3.0955   3.4370   3.5936
   22.1125   3.1045   3.4184   3.5697
   22.1125   3.1135   3.3999   3.5460
   22.1125   3.1225   3.3814   3.5224
   22.1125   3.1315   3.3630   3.4988
   22.1125   3.1405   3.3446   3.4753
   22.1125   3.1495   3.3261   3.4521
   22.1125   3.1585   3.3078   3.4293
   22.1125   3.1675   3.2894   3.4063
   22.1125   3.1765   3.2710   3.3828
   22.1125   3.1855   3.2527   3.3601
   22.1125   3.1945   3.2344   3.3370
   22.1125   3.2035   3.2161   3.3145
   22.1125   3.2125   3.1979   3.2917
   22.1125   3.2215   3.1797   3.2690
   22.1125   3.2305   3.1615   3.2465
   22.1125   3.2395   3.1433   3.2241
   22.6125   2.9605   3.2594   3.4428
   22.6125   2.9695   3.2415   3.4192
   22.6125   2.9785   3.2236   3.3960
   22.6125   2.9875   3.2057   3.3729
   22.6125   2.9965   3.1879   3.3499
   22.6125   3.0055   3.1700   3.3269
   22.6125   3.0145   3.1522   3.3039
   22.6125   3.0235   3.1344   3.2811
   22.6125   3.0325   3.1167   3.2585
   22.6125   3.0415   3.0990   3.2357
   22.6125   3.0505   3.0813   3.2132
   22.6125   3.0595   3.0636   3.1907
   22.6125   3.0685   3.0460   3.1683
   22.6125   3.0775   3.0284   3.1461
   22.6125   3.0865   3.0108   3.1244
   22.6125   3.0955   2.9932   3.1024
   22.6125   3.1045   2.9757   3.0801
   22.6125   3.1135   2.9582   3.0584
   22.6125   3.1225   2.9407   3.0366
   22.6125   3.1315   2.9232   3.0149
   22.6125   3.1405   2.9058   2.9934
   22.6125   3.1495   2.8884   2.9719
   22.6125   3.1585   2.8710   2.9504
   22.6125   3.1675   2.8536   2.9291
   22.6125   3.1765   2.8363   2.9079
   22.6125   3.1855   2.8190   2.8865
   22.6125   3.1945   2.8017   2.8655
   22.6125   3.2035   2.7845   2.8444
   22.6125   3.2125   2.7673   2.8234
   22.6125   3.2215   2.7501   2.8026
   22.6125   3.2305   2.7329   2.7817
   22.6125   3.2395   2.7158   2.7613
