nrun  S2L1    S2L2    S2L3    S2L4    S2L5    S2L6    S2L7    S2L8    S2L9    S2L10   S2L11   S2L12   S2L13   S2L14   S2L15   S2L16   flag
1375  294.40  289.11  285.46  290.42  289.18  291.88  295.60  305.57  302.38  295.63  292.20  296.47  291.15  293.25  289.82  294.11  0
1376  296.11  290.94  284.15  289.00  289.01  289.60  296.55  297.83  300.87  292.12  289.01  297.27  293.44  294.18  290.52  286.05  0
1377  292.15  290.27  286.73  293.52  295.84  294.13  298.72  299.89  305.93  296.73  293.46  296.55  295.15  293.88  289.14  289.99  0
1378  291.71  287.48  283.71  294.08  296.24  294.44  298.76  307.60  308.13  295.88  293.81  298.23  292.62  293.13  289.56  293.17  0
1379  313.71  299.52  291.25  299.07  298.59  296.36  299.24  302.80  310.59  297.37  295.59  298.31  295.74  296.55  290.61  299.39  0
1380  323.84  318.23  307.14  306.34  301.25  305.90  305.07  301.67  307.11  297.62  293.82  308.56  303.56  291.16  303.33  308.30  0
1381  288.19  287.83  281.58  289.13  288.14  289.45  294.88  297.43  299.46  291.75  289.66  295.66  291.53  292.18  288.31  288.91  0
1382  288.46  291.61  281.99  289.83  289.41  288.55  292.49  298.85  299.49  290.79  290.13  296.55  291.85  292.84  287.72  292.33  0
1383  293.19  285.00  282.66  289.72  291.31  289.52  295.06  295.75  302.73  293.21  291.74  296.03  294.52  292.18  289.78  295.19  0
1384  295.91  286.41  282.96  286.85  292.79  291.66  294.25  301.42  301.76  294.38  288.77  300.38  290.29  293.50  287.73  286.68  0
1386  292.59  287.01  281.09  292.54  289.95  289.46  294.27  299.38  302.73  292.53  290.87  295.74  292.39  293.95  288.98  299.90  0
1387  293.73  288.99  283.73  289.78  288.65  290.49  295.28  302.38  302.43  293.22  291.01  295.83  291.97  292.66  288.63  292.51  0
1388  285.89  294.02  281.37  289.34  289.44  289.93  292.71  297.45  302.43  294.47  289.50  293.52  292.39  292.27  287.40  273.03  0
1389  295.51  289.61  286.17  293.92  295.26  294.73  299.87  300.48  306.03  295.32  293.95  297.69  295.42  294.34  289.82  291.73  0
1390  289.95  287.92  285.21  295.08  294.89  293.68  300.70  305.06  305.39  296.01  293.25  296.74  293.02  293.96  287.96  295.65  0
1392  295.76  290.98  281.06  288.84  288.99  292.23  298.68  303.08  303.63  294.59  293.99  296.27  293.95  295.24  292.90  290.42  0
1394  288.23  291.92  285.55  293.87  291.33  288.36  293.18  299.81  299.17  290.85  286.29  291.77  290.65  293.15  282.20  279.89  0
1397  245.03  277.39  272.43  284.55  285.86  287.30  294.31  301.38  301.75  293.07  291.86  297.91  294.09  292.52  287.18  274.25  0
1398  320.47  299.62  286.97  292.28  295.15  293.14  299.61  307.57  304.60  292.07  293.06  296.43  297.60  295.43  289.93  288.66  0
1399  316.79  301.20  289.71  295.09  295.50  293.93  298.66  298.92  301.96  295.14  292.05  302.98  301.50  297.63  290.32  274.34  0
1402  302.02  297.86  289.43  292.90  291.97  293.43  299.97  300.22  300.72  289.79  290.77  292.61  295.12  296.82  290.63  288.98  0
1403  284.15  287.82  286.86  294.35  296.19  295.14  300.17  305.16  307.34  295.92  293.57  299.01  292.97  295.56  289.35  282.80  0
1404  300.65  288.19  288.71  294.07  293.51  293.90  301.39  301.46  305.66  297.89  295.12  297.04  296.48  292.08  286.10  280.63  0
1405  302.20  294.37  283.49  290.44  288.55  289.54  294.27  297.94  298.04  292.65  288.53  298.41  293.20  293.90  286.33  286.88  0
1406  299.88  292.20  285.57  288.93  288.35  289.23  295.14  301.40  298.88  290.88  290.62  297.03  293.33  297.28  285.86  278.33  0
1407  302.77  288.43  283.83  291.54  292.85  294.00  298.17  304.06  297.47  294.83  291.35  299.55  294.44  295.43  285.10  288.14  0
1408  295.52  299.47  285.31  291.58  287.08  290.70  297.24  302.61  298.39  289.33  291.56  297.41  296.95  297.03  287.49  270.18  0
1409  301.19  296.91  286.40  289.55  290.28  288.08  294.32  307.67  303.34  291.33  289.58  299.21  296.78  294.28  288.64  278.91  0
1410  301.57  296.93  283.90  293.24  289.47  289.31  293.98  302.82  304.19  293.50  290.91  299.28  293.53  293.52  287.39  280.02  0
1411  296.37  301.84  282.39  287.64  291.34  290.67  297.40  305.09  301.94  291.45  291.90  298.89  296.18  293.40  291.21  291.86  0
1412  307.61  292.19  278.90  294.36  289.18  291.81  297.40  303.07  302.36  293.46  289.42  297.04  292.81  294.09  279.99  297.64  0
1413  303.13  290.10  286.77  295.51  296.59  298.26  300.49  312.88  305.39  293.37  293.99  299.11  295.80  295.50  286.87  252.99  0
1414  304.87  298.28  288.15  291.91  293.92  293.13  296.86  312.34  304.11  294.35  293.98  299.37  294.77  296.03  284.05  293.80  0
