nrun   cer1   cer2   cer3   cer4   cer5   cer6  cer7   cer8   cer9   cer10
91060  -0.21  0.40  0.22  -0.11  0.49  0.61  -0.51  -0.07  -0.51  -0.80  
91061  -0.31  -0.01  0.40  -0.03  0.01  0.22  -0.26  -0.21  -0.23  -0.77  
91062  -0.09  0.28  0.40  0.12  0.16  0.25  -0.39  0.09  -0.21  -0.46  
91063  -0.14  0.75  0.68  0.46  0.46  0.43  -0.51  -0.39  -0.47  -0.68  
91064  -0.16  0.14  0.39  -0.32  0.48  0.20  -0.51  -0.30  -0.31  -0.72  
91065  -0.26  0.41  0.19  -0.01  0.46  0.56  -0.30  -0.26  -0.28  -0.33  
91066  0.01  0.71  0.56  0.04  0.20  0.36  -0.03  -0.06  -0.47  -0.59  
91067  -0.17  0.05  -0.06  -0.21  0.32  0.03  -0.35  -0.15  -0.10  -0.60  
91068  -0.13  0.23  0.09  0.02  0.05  0.33  -0.52  -0.22  -0.37  -0.86  
91069  -0.26  -0.14  0.61  -0.15  0.33  0.30  -0.53  -0.36  -0.37  -0.71  
91070  -0.37  0.50  0.30  -0.04  0.43  0.43  -0.32  0.03  -0.30  -0.48  
91071  0.01  0.22  0.35  -0.29  0.02  0.40  -0.44  0.01  -0.25  -0.64  
91072  -0.29  0.22  0.42  -0.28  0.17  0.28  -0.54  -0.11  -0.10  -0.45  
91073  -0.13  -0.02  0.16  0.00  0.06  0.47  -0.42  -0.73  -0.24  -0.21  
91074  -0.07  0.29  0.47  -0.31  0.51  0.51  -0.24  0.25  -0.07  -0.79  
91075  0.11  -0.02  0.32  0.26  0.34  0.37  -0.41  -0.14  -0.53  -0.39  
91076  0.08  0.11  0.11  0.00  0.19  0.42  -0.38  -0.16  0.01  -0.61  
91077  -0.10  0.36  0.27  -0.27  0.27  0.21  -0.34  0.04  -0.22  -0.70  
91078  -0.28  0.58  0.32  -0.02  0.26  0.36  -0.15  0.17  -0.26  -0.35  
91079  -0.20  0.42  0.08  -0.20  -0.08  0.35  -0.09  0.02  -0.26  -0.75  
91080  -0.31  0.31  0.19  -0.47  0.07  0.50  -0.64  -0.03  -0.29  -0.39  
91081  -0.46  0.33  0.35  -0.12  0.20  0.12  -0.51  -0.03  -0.69  -0.75  
91082  -0.25  0.08  0.33  -0.17  0.34  0.48  -0.38  -0.15  -0.29  -0.44  
91083  -0.09  0.31  0.07  -0.36  0.34  0.56  -0.39  -0.27  -0.71  -0.86  
91084  -0.21  0.03  0.36  0.14  0.30  0.61  -0.45  0.33  -0.21  -0.44  
91085  0.03  0.24  0.32  -0.02  0.24  0.41  -0.41  0.04  -0.42  -0.25  
91086  0.05  0.21  0.01  -0.34  -0.29  0.40  -0.31  -0.15  -0.25  -0.57  
91087  -0.20  0.02  0.01  0.42  -0.00  0.09  -0.65  -0.04  -0.35  -0.42  
91088  -0.09  0.16  0.18  0.55  0.34  0.71  -0.52  -0.29  -0.26  -0.24  
91089  -0.31  0.19  0.30  -0.32  0.15  0.19  -0.32  -0.16  -0.54  -0.63  
91091  0.01  0.38  0.45  -0.34  0.22  0.27  -0.29  -0.06  -0.49  -0.58  
91093  -0.32  0.60  0.09  0.25  -0.15  0.29  -0.51  -0.15  -0.45  -0.23  
91094  -0.29  0.44  0.03  -0.06  -0.15  0.13  -0.31  0.00  -0.79  -0.61  
91095  -0.33  0.08  0.19  -0.15  -0.03  0.07  -0.49  -0.26  -0.43  -0.49  
91096  -0.22  0.25  0.30  -0.00  0.39  0.29  -0.48  -0.31  -0.46  -0.57  
91097  -0.41  0.06  0.04  -0.31  -0.06  -0.07  -0.49  -0.53  -0.16  -0.62  
91098  0.07  0.22  -0.03  0.40  0.21  0.54  -0.61  -0.16  -0.20  -0.60  
91099  -0.31  0.19  0.24  0.25  -0.15  0.26  -0.43  -0.12  -0.53  -0.40  
91100  -0.11  0.13  0.21  0.16  0.14  0.67  -0.63  0.21  0.01  -0.20  
91102  -0.15  -0.12  0.34  -0.26  -0.18  -0.02  -0.83  0.40  -0.61  -0.54  
91103  -0.06  -0.12  0.01  -0.28  0.46  0.32  -0.54  -0.12  -0.38  -0.63  
91104  -0.21  0.32  0.12  0.03  0.16  0.45  -0.33  -0.06  -0.42  -0.53  
91105  0.15  0.13  -0.04  0.09  0.26  0.47  -0.22  -0.12  -0.26  -0.47  
91106  -0.15  0.32  0.20  0.06  0.09  0.49  -0.39  -0.10  -0.42  -0.42  
91109  0.07  -0.17  0.15  -0.00  0.01  -0.24  -0.20  -0.44  -0.08  -0.58  
91110  -0.22  0.06  0.03  -0.20  0.22  0.51  -0.51  -0.07  -0.26  -0.49  
91111  -0.02  0.16  0.15  0.05  -0.01  0.26  -0.38  -0.19  -0.23  -0.59  
91113  -0.23  0.52  0.24  0.13  -0.15  0.39  -0.58  -0.30  -0.29  -0.38  
91114  -0.31  0.30  0.26  0.08  0.05  0.17  -0.36  0.01  -0.23  -0.40  
91115  0.03  0.46  0.29  0.09  0.01  0.30  -0.58  -0.10  -0.32  -0.54  
91116  -0.29  0.22  0.30  0.14  0.18  0.65  -0.48  0.09  -0.10  -0.66  
91118  -0.06  0.28  0.22  -0.06  -0.20  0.32  -0.34  0.16  -0.21  -0.13  
91120  -0.38  0.21  0.10  0.12  0.31  0.34  -0.41  0.02  -0.09  -0.30  
91122  0.01  0.26  0.12  -0.56  -0.27  0.39  -0.84  0.00  -0.32  -0.93  
91124  -0.90  -0.08  0.07  -0.38  0.56  0.39  0.09  0.44  0.09  -0.26  
91126  -0.21  0.16  0.22  -0.02  0.41  0.71  -0.29  -0.04  -0.21  -0.11  
91127  -0.34  0.19  0.29  -0.26  0.02  0.24  -0.47  0.15  -0.31  -0.70  
91130  -0.02  0.39  0.34  -0.10  -0.02  0.53  -0.66  -0.07  -0.48  -0.38  
91131  -0.04  0.07  -0.24  -0.23  0.35  -0.13  -0.41  0.09  -0.12  -0.46  
91132  0.03  0.11  0.26  -0.25  -0.19  0.73  -0.59  0.01  -0.38  -0.13  
91134  -0.28  0.07  0.21  0.12  0.41  0.56  -0.24  -0.23  -0.47  -0.19  
91135  -0.19  0.18  0.31  -0.11  0.20  0.29  -0.66  -0.08  -0.40  -0.46  
91137  -0.19  0.36  0.34  0.11  0.12  0.34  -0.53  -0.34  -0.31  -0.60  
91140  -0.55  0.03  -0.10  -0.11  0.50  0.56  -0.11  0.29  -0.60  -0.18  
91141  0.18  -0.02  0.19  0.07  0.05  -0.12  -0.19  -0.27  0.02  -0.40  
91142  -0.55  0.01  0.23  0.32  0.23  0.22  -0.68  -0.03  -0.38  -0.34  
91143  -0.55  0.34  0.11  -0.02  0.08  0.39  -0.81  0.14  -0.43  -0.14  
91144  -0.35  0.36  0.11  0.21  0.45  0.31  -0.52  -0.00  -0.36  -0.40  
91146  0.15  0.41  0.54  0.14  0.14  0.44  -0.61  -0.09  -0.26  -0.65  
91147  -0.10  0.45  0.30  0.15  -0.05  0.27  -0.61  0.27  -0.12  -0.61  
91151  -0.23  -0.01  0.27  -0.05  0.17  0.16  -0.45  -0.11  -0.27  -0.41  
91152  -0.28  0.35  0.47  0.47  0.19  0.39  -0.13  0.31  -0.37  -0.74  
91162  0.17  0.08  0.22  0.09  0.10  -0.02  -0.15  -0.23  0.11  -0.45  
91163  -0.13  0.40  0.14  0.30  0.22  0.28  -0.45  -0.09  -0.48  -0.45  
91164  -0.58  0.17  0.17  0.17  -0.01  0.30  -0.49  -0.17  -0.49  -0.59  
91165  -0.27  0.38  -0.07  -0.12  0.00  0.50  -0.47  0.02  -0.49  -0.72  
91166  -0.41  0.18  0.43  -0.18  0.11  0.24  -0.48  -0.02  -0.28  -0.23  
91167  -0.11  0.05  0.36  -0.20  0.12  0.39  -0.56  0.17  -0.75  -0.60  
91168  0.10  0.14  -0.05  -0.42  -0.36  0.26  -0.46  -0.49  -0.48  -0.31  
91169  -0.36  0.36  0.35  0.23  0.12  0.29  -0.49  0.19  -0.37  -0.69  
91170  -0.25  0.10  0.38  -0.08  0.10  0.28  -0.50  -0.20  -0.30  -0.41  
91171  -0.36  0.40  0.14  0.36  0.12  0.42  -0.56  0.08  -0.45  -0.58  
91172  -0.09  0.15  0.51  -0.19  0.02  0.77  -0.37  -0.16  -0.79  -0.56  
91173  -0.50  0.21  -0.12  0.28  0.11  0.52  -0.56  -0.26  -0.31  -1.17  
91174  -0.22  0.29  0.55  0.24  0.16  0.23  -0.52  0.20  -0.17  -0.78  
91177  -0.45  0.20  -0.04  0.29  0.07  0.44  -0.33  0.19  -0.35  -0.44  
91178  -0.06  0.28  0.05  0.07  0.45  0.51  -0.41  0.02  -0.18  -0.44  
91179  -0.10  0.22  0.20  0.30  0.80  0.33  -0.15  -0.14  -0.75  -0.25  
91182  -0.16  0.05  0.19  0.15  0.24  0.14  -0.69  -0.29  -0.32  -0.05  
91183  -0.22  0.40  0.23  0.25  0.27  0.38  -0.59  0.08  -0.44  -0.60  
91184  -0.29  0.34  -0.12  0.57  0.10  0.60  -0.68  0.19  -0.48  -0.29  
91185  -0.09  0.28  0.17  0.11  0.26  0.18  -0.59  -0.11  -0.43  -0.61  
91192  0.14  0.09  0.22  0.22  -0.05  -0.09  -0.11  -0.34  -0.02  -0.53  
91193  -0.11  0.28  0.11  0.01  0.10  0.38  -0.63  -0.31  -0.41  -0.77  
91194  -0.36  0.55  0.26  0.60  0.12  0.66  -0.52  -0.48  -0.63  -0.65  
91195  -0.20  0.24  0.03  -0.06  0.45  0.43  -0.42  -0.03  -0.33  -0.62  
91196  -0.39  0.14  -0.00  0.27  0.14  0.57  -0.65  -0.28  -0.47  -0.69  
91197  -0.16  0.12  0.46  0.31  0.03  0.42  -0.34  -0.25  -0.19  -0.56  
91198  -0.06  0.43  0.34  0.39  0.11  0.47  -0.61  -0.20  -0.65  -1.04  
91199  -0.10  0.33  0.06  0.02  0.32  0.57  -0.77  0.13  -0.25  -0.40  
91200  -0.72  0.24  0.30  0.38  0.23  0.49  -0.67  -0.14  -0.49  -0.43  
91208  -0.41  0.30  0.40  0.63  0.21  0.61  -0.94  -0.71  -0.81  -0.26  
91209  -0.37  0.26  0.30  0.49  0.11  0.62  -0.74  -0.23  -0.53  -0.39  
91210  -0.25  0.09  0.42  0.21  0.10  0.55  -0.47  -0.09  -0.60  -0.25  
91211  -0.18  0.29  0.19  0.10  0.17  0.41  -0.35  -0.00  -0.41  -0.49  
91212  0.06  0.13  0.05  0.25  0.15  0.13  -0.61  0.31  -0.32  -0.27  
91213  -0.39  0.30  0.31  0.49  -0.12  0.23  -0.79  -0.08  -0.10  -0.45  
91217  0.14  0.04  0.35  0.18  0.10  -0.13  -0.06  -0.22  0.04  -0.69  
91218  -0.28  0.50  0.18  0.32  -0.33  0.65  -0.12  -0.21  -0.76  -0.60  
91219  -0.16  0.79  0.00  0.78  0.08  0.50  -0.65  0.29  -0.34  -0.24  
91220  -0.21  0.38  0.35  0.51  -0.05  0.68  -0.21  0.10  -0.06  -0.39  
91221  -0.22  0.35  0.23  0.47  0.17  0.42  -0.56  -0.15  -0.50  -0.32  
91222  -0.12  0.43  -0.03  0.50  -0.16  0.30  -0.31  -0.07  -0.24  -0.39  
91223  -0.19  0.13  0.26  0.28  -0.04  0.66  -0.36  0.10  -0.48  -0.40  
