nrun   s0l     s0r     flag
91606  913.73  828.88  0
91607  890.34  628.96  1
91608  897.42  822.13  0
91609  869.64  842.35  0
91610  902.49  840.51  0
91611  904.96  645.08  1
91612  885.54  821.97  0
91614  903.84  831.83  0
91615  914.13  823.58  0
91616  901.54  828.88  0
91617  888.11  807.64  0
91618  887.17  809.62  0
91619  887.54  801.23  0
91620  886.22  802.10  0
91621  884.05  813.19  0
91622  885.93  810.23  0
91623  883.71  811.51  0
91624  885.40  812.43  0
91625  901.38  786.71  0
91626  901.12  791.58  0
91627  905.06  789.11  0
91628  901.93  785.40  0
91629  902.90  787.01  0
91630  909.16  791.97  0
91631  906.53  796.75  0
91632  905.09  795.63  0
91633  909.80  801.21  0
91634  903.51  793.84  0
91635  903.63  794.82  0
91636  903.10  791.75  0
91637  902.89  793.14  0
91638  898.13  794.02  0
91639  908.96  799.79  0
91640  914.67  795.24  0
91641  906.05  795.24  0
91642  897.73  792.59  0
91643  904.99  799.05  0
91644  886.65  791.14  0
91645  911.99  799.42  0
91646  896.95  793.47  0
91647  899.37  813.00  0
91648  903.35  806.25  0
91649  906.73  803.82  0
91650  901.85  806.18  0
91651  899.31  804.55  0
91655  880.74  846.31  0
91656  896.65  868.76  0
91657  876.54  847.52  0
91658  880.55  855.03  0
91659  879.50  839.18  0
91662  868.47  -1946.20  1
91663  891.85  862.51  0
91664  889.24  847.71  0
91665  874.81  858.23  0
91666  905.48  888.72  0
91667  885.57  817.55  0
91668  868.70  831.67  0
91671  905.14  591.60  1
91675  844.12  861.24  0
91676  875.93  270.55  1
91677  887.76  789.20  0
91680  934.92  777.76  0
91681  869.46  595.78  1
91682  888.07  836.32  0
91683  861.50  815.67  0
91684  898.65  851.39  0
91685  874.68  516.43  1
91686  871.71  823.52  0
91687  891.48  837.09  0
91688  870.09  623.29  1
91689  887.45  824.73  0
91690  859.62  810.40  0
91691  866.31  813.53  0
91692  892.05  797.86  0
91693  880.90  825.49  0
91694  896.94  821.75  0
91695  883.61  818.82  0
91712  -3015.69  682.47  1
91713  913.74  827.46  0
91726  882.63  659.04  1
91727  891.92  906.46  0
91737  882.71  838.42  0
91748  888.34  833.88  0
91751  871.62  811.92  0
91752  876.80  845.19  0
91756  872.43  647.18  1
91759  891.68  818.88  0
91760  866.74  814.66  0
91774  899.28  623.58  1
91775  886.73  827.36  0
91777  888.69  828.29  0
91779  886.68  823.05  0
91780  915.24  857.04  0
91786  862.19  839.95  0
91787  888.53  832.00  0
91788  878.11  809.16  0
91789  883.64  803.69  0
91790  875.34  798.17  0
91791  868.87  806.12  0
91792  876.99  822.47  0
91793  857.00  826.22  0
91794  878.48  852.54  0
91795  867.80  833.90  0
91796  882.23  842.57  0
91798  877.22  846.85  0
91799  883.04  825.04  0
91800  878.46  869.70  0
91801  879.26  836.03  0
91803  896.52  825.78  0
91804  865.96  843.64  0
91805  868.79  816.31  0
91806  867.26  836.98  0
91813  863.83  835.61  0
91814  880.86  845.37  0
91815  871.49  827.92  0
91816  883.18  831.32  0
91817  893.89  848.48  0
91818  875.76  856.67  0
91819  891.40  841.22  0
91820  866.30  816.87  0
91821  874.02  836.04  0
91822  897.01  818.05  0
91823  882.78  821.68  0
91824  887.35  858.35  0
91825  884.82  860.95  0
91830  878.40  876.35  0
91831  890.11  851.50  0
91832  863.71  844.90  0
91833  870.24  837.47  0
91834  874.56  189.00  1
91835  884.02  846.67  0
91836  884.10  842.42  0
91837  881.49  833.96  0
91838  880.99  828.25  0
91841  916.26  875.16  0
91843  869.42  809.98  0
91844  837.54  790.02  0
91845  896.14  801.33  0
91846  878.24  814.32  0
91847  876.78  824.20  0
91848  875.21  828.28  0
91849  854.27  812.17  0
91850  855.21  821.32  0
91851  863.86  639.48  1
91852  879.94  782.06  0
91855  835.98  539.69  1
91856  884.18  806.62  0
91860  922.94  885.77  0
91867  887.65  830.50  0
91868  896.60  698.64  1
91869  870.51  826.54  0
91871  896.97  831.13  0
91872  880.03  811.79  0
91873  884.36  820.01  0
91874  872.82  849.08  0
91875  872.60  840.88  0
91876  898.70  830.98  0
91877  881.86  843.30  0
91878  899.39  829.63  0
91879  925.27  845.83  0
91880  901.91  839.48  0
91881  862.18  806.40  0
91882  883.77  804.51  0
91883  885.59  813.32  0
91884  888.78  803.17  0
91886  883.23  507.11  1
91887  883.00  798.77  0
91888  876.45  838.38  0
91890  886.27  813.39  0
91893  885.41  813.65  0
91894  867.51  811.67  0
91895  887.31  819.82  0
91896  884.66  810.20  0
91897  885.97  839.90  0
91899  933.38  797.50  0
91900  918.70  819.36  0
91901  888.43  821.47  0
91903  875.19  660.94  1
91904  887.14  812.91  0
91905  868.90  800.90  0
91906  902.42  808.06  0
91907  888.05  844.29  0
91908  897.04  829.51  0
91910  -688.28  929.03  1
91911  914.69  -3857.93  1
91914  896.14  877.91  0
91917  875.53  834.48  0
91918  918.02  822.93  0
91919  873.78  813.56  0
91920  877.14  810.66  0
91921  875.67  788.71  0
91922  894.72  795.25  0
91923  876.42  811.75  0
91924  901.22  813.59  0
91925  885.42  811.94  0
91926  894.91  813.37  0
91927  900.83  814.20  0
91928  867.44  804.26  0
91929  883.98  685.66  1
91930  875.72  786.75  0
91931  887.77  664.35  1
91932  893.59  818.07  0
91933  896.13  819.35  0
91934  885.75  819.39  0
91935  875.69  812.07  0
91936  878.88  512.66  1
91937  887.51  824.15  0
91938  884.54  795.97  0
91940  879.36  826.28  0
91942  911.39  764.29  0
91943  901.80  816.88  0
91944  878.40  819.17  0
91945  864.13  -1533.46  1
91946  884.59  792.73  0
91947  864.63  798.71  0
91948  885.81  793.04  0
91949  875.30  814.02  0
91950  864.79  -1671.87  1
91951  869.04  796.47  0
91952  875.68  796.22  0
91953  863.92  821.92  0
91954  878.88  814.43  0
91956  879.60  843.91  0
91957  884.95  806.14  0
91958  906.41  808.77  0
91959  856.31  821.45  0
91960  882.02  809.00  0
91961  889.38  805.68  0
91962  872.24  799.49  0
91963  875.50  686.06  1
91964  875.97  815.86  0
91965  890.32  819.43  0
91966  874.11  818.08  0
91967  879.70  679.13  1
91968  875.61  815.73  0
91969  876.96  801.44  0
91971  915.06  875.99  0
91972  890.63  812.69  0
91973  865.28  -1024.92  1
91975  869.31  825.28  0
91976  873.12  807.74  0
91978  866.01  810.53  0
91979  873.57  808.89  0
91980  875.59  790.22  0
91981  878.30  698.68  1
91982  920.87  858.09  0
91985  870.36  -1521.50  1
91986  881.31  817.72  0
91988  875.00  819.74  0
91990  881.54  815.35  0
91991  885.43  816.39  0
91992  905.82  843.62  0
91993  902.23  810.75  0
91994  889.67  824.84  0
91997  870.45  818.18  0
91998  861.24  785.48  0
91999  877.12  580.11  1
92000  872.51  693.54  1
92001  874.25  820.08  0
92002  877.11  651.41  1
92004  881.48  576.69  1
92005  863.87  796.28  0
92006  875.04  799.21  0
92007  872.40  810.00  0
92008  861.89  773.86  0
92009  872.54  790.66  0
92010  865.73  810.05  0
92012  864.07  808.38  0
92013  867.94  826.43  0
92014  878.40  798.64  0
92015  878.04  817.43  0
92016  877.19  535.04  1
92017  870.19  779.84  0
92018  880.55  799.06  0
92019  863.06  806.98  0
