nrun  cer1    cer2    cer3    cer4    cer5    cer6    cer7    cer8    cer9    cer10   flag
1549  337.74  330.01  339.46  347.68  329.67  324.34  374.93  338.40  364.16  478.66  1
1550  336.42  324.54  331.59  330.94  324.05  321.35  343.34  346.04  355.66  375.87  0
1551  330.93  323.76  326.39  331.92  321.76  316.22  338.81  331.13  331.93  344.62  0
1553  341.84  330.65  336.62  349.14  330.72  319.45  370.03  340.48  367.17  610.93  1
1557  340.78  335.01  338.72  354.76  332.08  327.74  364.08  351.96  366.80  1703.92  1
1558  327.02  334.90  331.17  357.27  330.65  319.21  372.16  346.13  363.33  385.36  0
1559  337.81  339.46  341.95  344.49  326.26  318.63  362.58  347.08  335.92  387.56  0
1560  342.17  330.87  338.81  337.17  333.79  322.13  376.15  348.55  357.00  1144.86  1
1561  331.79  330.15  336.42  358.17  325.49  325.16  363.16  340.55  358.88  400.72  0
1562  336.09  326.29  336.71  347.35  328.01  329.42  367.55  347.34  357.19  678.68  1
1563  341.46  338.09  338.11  346.91  327.48  315.33  369.25  339.38  349.99  381.96  0
1564  345.84  335.11  330.02  339.16  328.21  320.20  376.22  341.67  335.68  667.36  1
1565  335.68  332.53  336.50  340.76  324.69  314.52  371.19  346.99  371.70  387.95  0
1566  335.21  331.17  336.44  344.19  335.96  317.99  368.34  350.35  350.56  395.99  0
1567  331.64  324.84  333.54  355.04  320.68  328.07  363.87  335.38  371.93  368.46  0
1568  338.60  335.36  334.03  355.07  334.82  319.68  369.02  345.22  355.14  1055.84  1
1569  334.13  337.01  332.35  333.59  322.25  314.62  349.44  339.36  327.51  496.88  1
1571  338.62  334.29  330.34  339.49  329.31  317.88  359.80  343.59  357.26  796.14  1
1572  339.25  320.61  332.73  343.90  323.40  322.25  351.58  344.98  341.68  390.62  0
1576  350.89  337.62  341.52  345.66  328.63  338.33  364.89  354.53  361.27  469.98  1
1577  339.28  338.08  343.23  351.29  327.85  318.50  378.37  347.49  367.31  375.20  0
1578  334.53  324.01  334.49  350.76  321.57  321.43  359.24  340.51  346.03  361.62  0
1579  334.28  324.64  336.90  337.32  325.22  314.56  368.00  341.26  345.71  2078.15  1
1580  341.55  329.44  332.50  343.96  320.84  320.85  365.92  345.85  356.08  569.20  1
1581  334.67  335.88  334.72  347.53  325.16  316.76  351.43  341.72  364.40  372.25  0
1582  335.21  336.36  335.13  348.26  328.19  326.12  369.19  350.50  450.74  351.57  1
1583  339.13  330.22  339.08  352.92  328.48  319.28  362.75  346.32  372.19  452.19  1
1584  338.48  335.28  335.97  347.38  327.82  322.43  366.28  339.70  386.51  1784.06  1
1585  334.28  339.77  327.92  350.29  326.68  327.69  362.92  344.72  358.78  628.20  1
1586  334.48  326.17  337.05  346.93  329.79  323.54  371.36  346.63  363.18  478.29  1
1587  336.18  335.64  335.26  348.81  326.20  320.36  366.61  340.61  366.89  368.96  0
1588  342.91  340.15  337.43  347.85  328.95  326.41  363.42  352.66  351.38  490.72  1
1589  339.78  326.20  334.80  346.81  330.45  315.59  366.24  348.04  353.20  473.49  1
1590  334.34  335.77  339.83  343.61  328.35  323.91  361.76  344.07  354.98  477.93  1
1591  334.54  332.99  332.25  345.78  326.49  320.08  365.78  349.31  352.20  477.39  1
1592  339.05  332.21  338.28  345.55  325.69  321.97  360.27  341.98  402.35  390.54  0
1593  338.97  329.58  328.01  338.22  328.60  319.55  367.56  345.35  357.78  713.15  1
1594  336.27  329.12  335.23  341.74  323.81  322.75  365.44  340.51  343.99  385.68  0
1595  342.22  335.16  334.00  345.15  326.22  321.72  363.41  343.07  348.42  2070.03  1
1596  333.53  325.27  330.09  339.90  325.90  321.54  364.43  337.40  334.61  382.13  0
1597  342.35  336.18  330.43  347.62  332.53  317.77  365.74  340.18  359.97  455.27  1
1598  338.09  333.17  337.72  347.01  329.27  318.07  373.58  344.96  358.86  386.61  0
1599  342.77  333.95  334.23  349.74  329.56  316.83  361.93  342.02  361.01  386.70  0
1600  346.27  347.96  323.65  345.58  330.01  326.13  346.68  342.44  327.64  378.02  0
1601  333.83  325.67  323.43  319.67  320.53  310.77  339.99  341.07  318.06  367.77  0
1604  333.51  331.75  339.93  337.67  325.26  316.07  366.84  348.58  365.88  2529.36  1
1605  334.90  334.77  331.41  350.34  326.60  321.99  372.64  344.12  354.40  773.54  1
1606  333.74  332.83  335.95  347.71  329.80  325.02  363.38  347.08  361.21  2281.66  1
1607  338.93  332.71  333.34  342.20  332.87  326.02  375.36  340.88  351.60  691.37  1
